Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FMS       ;FN 9/2018;Financeiro;Termo de Cooperação Técnica estabelecendo suas competências no que se refere ao uso de campo para desenvolvimento de atividades práticas e demais vivências pedagógicas curriculares, de acordo com o estabelecido nas Diretrizes Curriculares Nacionais para a formação de recursos humanos de Educação Profissional de Nível Médio, na área de saúde e afins, para o curso de Técnico em Enfermagem, entre a Secretaria Municipal da Saúde e o Colégio Estadual Professor Guido Straube.;R$ 0,00;RUA FRANCISCO TORRES, 830 - SMS;18/06/2018;01-061823/2017;20/06/2018;18/06/2022;Confirmado Vencedor
SME       ;DT 18/2018;Dispensa de Licitação - TCE;Contratação ememergencial pelo periodo de 180 dias de empresa para prestação de serviços de limpeza asseio e conservação por M2, com fornecimento de mão de obra, materiais e equipamentos para atendimento das Secretareis instadas no Ed. Delta Corporarate ( SME, SMU E SMRH).;R$ 178.398,64;Conforme processo original nº 01-058754/2018;19/06/2018;01-058754/2018;19/06/2018;15/12/2018;Confirmado Vencedor
URBS      ;DT 1/2018;Dispensa de Licitação - TCE;Contratação do Instituto Euvaldo Lodi - IEL/PR através de Dispensa de Licitação, com fulcro no artigo 24, Inciso XIII da Lei nº 8.666/93 para a prestação de serviços de Gestão de Estágio.;R$ 36.457,34;CONFORME DISPENSA;21/06/2018;42-000093/2018;22/06/2018;21/06/2019;Confirmado Vencedor
SMSAN     ;PE 177/2018;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE APLICAÇÃO DE PELÍCULA PARA VIDROS COMERCIAIS.;R$ 2.035,53;UNIDADE DOS RESTAURANTES POPULARES;20/06/2018;01-064470/2018;16/07/2018;15/08/2018;Empenhado
SMMA      ;PE 178/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE CAIXAS ORGANIZADORAS, MÁQUINA FOTOGRÁFICA, MICROONDAS, AQUECEDOR, NEBULIZADOR ULTRASÔNICO, TELA, CAMPAINHA SEM FIO, PRANCHAS, CAIBRO, MADEIRA, TÁBUA, LONA, TELHA E HIPOCLORITO DE SÓDIO VISANDO ATENDER A SMMA;R$ 12.318,72;Rua João Miquelleto, s/nº, Adm. Zoológico, Curitiba;20/06/2018;01-061966/2018;26/07/2018;15/08/2018;Parcialmente Empenhado
FMAS      ;PE 10/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS DE LIMPEZA E CONSERVAÇÃO - DESCARTÁVEIS - PARA AS UNIDADES DA FUNDAÇÃO DE AÇÃO SOCIAL;R$ 698.919,01;CONFORME EMPENHO;22/06/2018;01-060323/2018;20/06/2018;19/09/2019;Parcialmente Empenhado
SMELJ     ;FN 62/2018;Financeiro;Termo de Cooperação entre o Municipio de Curitiba e a Associação Maetro Esporte Clube.;R$ 0,00;Rua Solimões,160;20/06/2018;01-054866/2018;25/06/2018;29/12/2018;Confirmado Vencedor
SETRAN    ;PE 179/2018;PREGÃO ELETRÔNICO;Locação de plotter com scanner colorido, tamanho A0, com cartuchos de tinta, cabeças de impressão e manutenção preventiva e corretiva.;R$ 100.000,00;Rua Benjamin Constant, 157;16/07/2018;01-051401/2018;10/09/2018;08/09/2022;Confirmado Vencedor
SMRH      ;PE 180/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE LONGARINAS DIRETOR COM 3 LUGARES PARA RECEPÇÃO DA PERÍCIA MÉDICA DA SECRETARIA MUNICIPAL DE RECURSOS HUMANOS, ;R$ 7.650,00;Conforme recibo de entrega;21/06/2018;01-051657/2018;27/07/2018;06/08/2018;Empenhado
SGM       ;DT 19/2018;Dispensa de Licitação - TCE;Prestação de serviço de gestão operacional do Fundo Municipal de Habitação de Interesse Social, monitoramento e avaliação social de ocupações irregulares em imóveis de domínio do Município de Curitiba, disponibilização temporária de imóveis ao Município para atender famílias em situação de vulnerabilidade social e/ou que apresentem necessidades sociais de moradia, provenientes de demandas judiciais, limitada à possibilidade de atendimento, cessão temporárias de imóveis ao Município para abrigar órgão e/ ou entidades de cunho social que prestem serviços nesta área, na forma do Plano de Trabalho e Plano de Desembolso - Anexos I e II, partes integrantes deste instrumento.;R$ 5.167.611,72;Av. Cândido de Abreu, 817, Cilmara f. 3350-8420;22/06/2018;01-047829/2018;29/06/2018;28/06/2019;Confirmado Vencedor
FMS       ;PE 70/2018;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;;Rua João Bettega, 3350 - CIC - Almoxarifado SMS;21/06/2018;01-061337/2018;21/06/2018;21/07/2019;Processo Fracassado
FMS       ;PE 71/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE SISTEMA DE VÍDEO LAPAROSCOPIA COMPLETO.;R$ 394.185,00;conforme item 18.14 do Edital de Embasamento;21/06/2018;01-063991/2018;29/10/2018;27/01/2019;Empenhado
FMS       ;DT 40/2018;Dispensa de Licitação - TCE;Seleção de Entidade Qualificada como Organização Social no âmbito do Município de Curitiba na área da Saúde, para gerenciamento de Unidades de Pronto Atendimento UPAS/24 hs, em Atenção às Urgências e Emergências, para celebrar Contrato de Gestão com o objetivo de prestar serviços técnicos especializados.de gerenciamento, operacionalização e execução das ações e serviços de saúde na Unidade de Pronto Atendimento CIC - UPA CIC;R$ 20.366.400,00;RUA FRANCISCO TORRES, 830 SMS;22/06/2018;01-045264/2018;25/06/2018;24/06/2021;Confirmado Vencedor
SME       ;DT 20/2018;Dispensa de Licitação - TCE;Fornecimento de refeições aos alunos dos Centros Municipais de Educação infantil da da rede municipal de ensino com a obrigação de fornecer matéria prima ( gêneros  alimentícios ) e executar o preparo, cocção, distribuição, higienização, transporte de refeições, bem como dispor de instalações, equipamentos, matéria-prima, transporte e utensílios adequados, higienização de equipamentos e mão de obra especializada.;R$ 5.645.911,32;Conforme processo original nº01-031553/2018;22/06/2018;01-031553/2018;02/07/2018;28/12/2018;Confirmado Vencedor
SME       ;DT 21/2018;Dispensa de Licitação - TCE;Fornecimento de refeições aos alunos dos Centros Municipais de Educação infantil da da rede municipal de ensino com a obrigação de fornecer matéria prima ( gêneros  alimentícios ) e executar o preparo, cocção, distribuição, higienização, transporte de refeições, bem como dispor de instalações, equipamentos, matéria-prima, transporte e utensílios adequados, higienização de equipamentos e mão de obra especializada.;R$ 6.490.699,42;Conforme processo original nº 01-031546/2018;22/06/2018;01-031546/2018;02/07/2018;28/12/2018;Confirmado Vencedor
SME       ;DT 22/2018;Dispensa de Licitação - TCE;Fornecimento de refeições aos alunos dos Centros Municipais de Educação infantil da da rede municipal de ensino com a obrigação de fornecer máteria prima ( generos alimenticios ) e executar o preparo, cocção, distribuição, higienização, transporte de refeições, bem como dispor de instalações, equipamentos, materia-prima, transporte e utensilios adequados, higienização de equipamentos e mão de obra especializada.;R$ 6.654.708,69;Conforme processo original nº 01-031543/2018;22/06/2018;01-031543/2018;02/07/2018;28/12/2018;Confirmado Vencedor
SME       ;DT 23/2018;Dispensa de Licitação - TCE;Fornecimento de refeições aos alunos dos Centros Municipais de Educação infantil da da rede municipal de ensino com a obrigação de fornecer matéria prima ( gêneros  alimentícios ) e executar o preparo, cocção, distribuição, higienização, transporte de refeições, bem como dispor de instalações, equipamentos, matéria-prima, transporte e utensílios adequados, higienização de equipamentos e mão de obra especializada.;R$ 7.625.308,45;Conforme processo original nº 01-031550/2018;22/06/2018;01-031550/2018;02/07/2018;28/12/2018;Confirmado Vencedor
IPMC      ;DT 1/2018;Dispensa de Licitação - TCE;Contrato, para adesão do Instituto de Previdência dos Servidores do Município de Curitiba - IPMC ao Programa de Estágio do Município de Curitiba administrado pelo Instituto Municipal de Administração Pública - IMAP, para a contratação de estágio supervisionado de estudantes de cursos de nível médio (até 12 estagiários) e nível superior (até 25 estagiários),  a fim de atender às necessidades do IPMC de acordo com a legislação e normas vigentes.;R$ 439.270,00;CONFOME CONTRATO;25/06/2018;08-002165/2018;02/07/2018;31/10/2019;Confirmado Vencedor
IMAP      ;IN 22/2018;Inexigibilidade de Licitação;MINISTRAR A DISCIPLINA" POLÍTICA MUNICIPAL DE ASSISTENCIA SOCIAL - CURSO DE PÓS-GRADUAÇÃO DO IMAP;R$ 1.800,00;IMAP;25/06/2018;01-068006/2018;25/06/2018;22/09/2018;Empenhado
FMS       ;DT 41/2018;Dispensa de Licitação - TCE;AQUISIÇÃO DE LUVA DE PROCEDIMENTO PP, NÃO CIRÚRGICAS.;R$ 7.250,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO/SMS.;22/06/2018;01-068491/2018;25/06/2018;02/07/2018;Empenhado
FMS       ;PE 72/2018;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 4.473.797,15;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;26/06/2018;01-060889/2018;22/06/2018;30/08/2019;Parcialmente Empenhado
SMSAN     ;CP 14/2018;Concorrência Pública;SELEÇÃO DE PROPOSTAS PARA OCUPAÇÃO E EXPLORAÇÃO DE 62 (SESSENTA E DOIS) ESPAÇOS PÚBLICOS, DISTRIBUÍDOS EM LOTES, DESTINADOS A COMERCIALIZAÇÃO DE PRODUTOS ALIMENTÍCIOS NAS FEIRAS DE CURITIBA;;Feiras;28/06/2018;01-057959/2018;;;Processo de Compra Montado
SMSAN     ;PE 181/2018;PREGÃO ELETRÔNICO;SERVIÇO DE CONFECÇÃO DE MATERIAL GRÁFICO PARA O SETOR DE AGRICULTURA URBANA.;R$ 4.250,18;Conforme edital;25/06/2018;01-066999/2018;20/07/2018;19/08/2018;Empenhado
SMMA      ;PE 182/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PRODUTOS ALIMENTÍCIOS PARA CONSUMO DOS ANIMAIS DO ZOOLÓGICO, PASSEIO PÚBLICO, MUSEU DE HISTÓRIA NATURAL E PARQUES DE CURITIBA, BEM COMO PRODUTOS ALIMENTÍCIOS PARA CONSUMO HUMANO DESTINADO AO PROJETO DE ACANTONAMENTO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 06 MESES.;R$ 325.130,11;Rua João Miqueletto, s/nº, Alto Boqueirão, Curitiba - Paraná;27/06/2018;01-058901/2018;25/06/2018;27/01/2019;Parcialmente Empenhado
SMOP      ;PE 183/2018;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE ARTEFATOS DE FERRO, SENDO TAMPÃO E RALO DE FERRO FUNDIDO - COM COTA RESERVADA DE ATÉ 25% PARA MICROEMPRESA, EMPRESA DE PEQUENO PORTE E MICROEMPREENDEDOR INDIVIDUAL E ITENS PARA AMPLA PARTICIPAÇÃO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, POR UM PERÍODO DE 12 (DOZE) MESES - SMOP.;R$ 790.415,00;CONFORME RECIBO DE ENTREGA;26/06/2018;01-044939/2018;25/06/2018;27/07/2019;Empenhado
SMELJ     ;FN 63/2018;Financeiro;Termo de Cooperação, Projeto Social Maestro da Bola.;R$ 0,00;Rua solimões,160-SMELJ;25/06/2018;04-028960/2018;25/06/2018;24/12/2018;Confirmado Vencedor
SMELJ     ;FN 64/2018;Financeiro;Termo de Cooperação, Projeto Social Maestro da Bola.;R$ 0,00;Rua Solimões,160-SMELJ;25/06/2018;04-029059/2018;25/06/2018;24/12/2018;Confirmado Vencedor
SMOP      ;CP 15/2018;Concorrência Pública;OBRAS VIÁRIAS DE ENGENHARIA CIVIL PARA EXECUÇÃO DA VIA DE ACESSO AO ELEVADO VILA POMPÉIA.;R$ 5.090.238,86;Via de acesso ao elevado pompéia;26/06/2018;01-064422/2018;20/09/2018;11/05/2020;Confirmado Vencedor
SMELJ     ;FN 65/2018;Financeiro;Termo de Cooperação, Projeto Social Maestro da Bola.;R$ 0,00;Rua Solimões,160-SMELJ;25/06/2018;04-028959/2018;25/06/2018;24/12/2018;Confirmado Vencedor
FMS       ;PE 73/2018;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL ODONTOLÓGICO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 105.000,00;Rua João Bettega, 3350 - CIC - Curitiba - Almoxarifado SMS.;26/06/2018;01-066013/2018;25/06/2018;17/08/2019;Empenhado
SME       ;IN 45/2018;Inexigibilidade de Licitação;Serviço: Contratação de palestra para a SEP/Escola Anita Merhy Gaetner.Com o tema: O lúdico em sala de aula.;R$ 280,00;Conforme processo original nº 01-116950/2015;26/06/2018;01-116950/2015;26/06/2018;23/12/2018;Empenhado
SME       ;IN 46/2018;Inexigibilidade de Licitação;Serviço: Contratação de palestra para a SEP/CMEI Professora Maria Viezzer Hermann.Com o tema: Trabalhando a música na Educação Infantil.;R$ 480,00;Conforme processo original nº 01-111341/2015;26/06/2018;01-111341/2015;26/06/2018;23/12/2018;Empenhado
SME       ;IN 47/2018;Inexigibilidade de Licitação;Serviço: Contratação de palestra para a SEP/Escola Mansur Guérios.Com o tema: Avaliação Educacional.;R$ 280,00;Conforme processo original nº 01-154033/2015;26/06/2018;01-154033/2015;26/06/2018;23/12/2018;Empenhado
SME       ;IN 48/2018;Inexigibilidade de Licitação;Serviço: Curso  Projeto de Implantação da Fanfarra Infantojuvenil para a Rede Municipal de Ensino de Curitiba.Conforme processo de credenciamento nº 01-145499/2014.;R$ 3.200,00;Conforme processo original nº 01-059089/2018;26/06/2018;01-059089/2018;26/06/2018;23/12/2018;Empenhado
SME       ;IN 49/2018;Inexigibilidade de Licitação;Serviço: Curso  Projeto de Implantação da Fanfarra Infantojuvenil para a Rede Municipal de Ensino de Curitiba.Conforme processo de credenciamento nº 01-145499/2014.;R$ 3.200,00;Conforme processo original nº 01-060898/2018;26/06/2018;01-060898/2018;26/06/2018;23/12/2018;Empenhado
FMS       ;DT 42/2018;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO CITRATO DE CÁLCIO+VITAMINA D.;R$ 656,64;RUA FRANCISCO TORRES Nº 830 ANDAR C SALA 02;26/06/2018;01-070241/2018;28/06/2018;05/07/2018;Empenhado
FMS       ;IN 9/2018;Inexigibilidade de Licitação;AQUISIÇÃO DE INSUMOS HOSPITALARES DE ORDEM JUDICIAL.;R$ 6.000,00;RUA FRANCISCO TORRES Nº 830 ANDAR C SALA 02;26/06/2018;01-070244/2018;28/06/2018;05/07/2018;Empenhado
SME       ;PE 184/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 4.277,50;Conforme formulário proposta.;27/06/2018;01-066767/2018;12/07/2018;22/07/2018;Empenhado
FMC       ;PE 3/2018;PREGÃO ELETRÔNICO;Confecção de 30 banners, confecção de 2.000 cartazes e aquisição 30 tripés para banners,;R$ 4.711,50;RUA ENGENHEIROS REBOUÇAS 1732;27/06/2018;57-000075/2018;20/07/2018;30/07/2018;Empenhado
SMSAN     ;PE 185/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PORTAS, MOBILIÁRIOS E EQUIPAMENTOS PARA RESTAURANTE.;R$ 87.814,00;CONFORME RECIBO DE ENTREGAS;27/06/2018;01-061352/2018;20/07/2018;19/08/2018;Parcialmente Empenhado
SME       ;DT 24/2018;Dispensa de Licitação - TCE;Fornecimento de refeições aos aos alunos dos Centros Municipais de Educação Infantil da Rede Municipal de Ensino com a a obrigação de fornecer máteria prima ( gêneros aliementícios ) e executar o preparo, cocção, distribuição, higienização,  transporte de refeições, bem como dispor de instalações, equipamentos , matéria prima, transporte e utensilios adequados, higienização de equipamentos e mão de obra especializada.;R$ 9.395.522,73;Conforme processo original nº 01-031551/2018;26/06/2018;01-031551/2018;02/07/2018;28/12/2018;Confirmado Vencedor
IMAP      ;IN 23/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE DOCENCIA PARA A ORIENTAÇÃO DO TRABALHO DE CONCLUSÃO DE CURSO - TCC, DO CURSO DE PÓS-GRADUAÇÃO LATO SENSU ESPECIALIZAÇÃO EM ADMINISTRAÇÃO PÚBLICA DO IMAP.;R$ 1.500,00;IMAP;26/06/2018;01-066127/2018;29/06/2018;25/03/2019;Pedido ou Empenho Anulado
IMAP      ;IN 24/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE ASERVIÇOS DE DOCENCIA/ORIENTAÇÃO DO TRABALHO DE CONCLUSÃO DO CURSO - TCC DO CURSO DE PÓS-GRADUAÇÃO LATOSENSU ESPECIALIZAÇÃO EM ADMINISTRAÇÃO PÚBLICA DO IMAP.;R$ 2.000,00;IMAP;26/06/2018;01-068381/2018;29/06/2018;25/03/2019;Pedido ou Empenho Anulado
IMAP      ;IN 25/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE DOCENCIA PARA A ORIENTAÇÃO DO TRABALHO DE CONCLUSÃO DE CURSO - TCC, DO CURSO DE PÓS-GRADUAÇÃO LATO SENSU ESPECIALIZAÇÃO EM ADMINISTRAÇÃO PÚBLICA DO IMAP.;R$ 12.000,00;IMAP;26/06/2018;01-067178/2018;02/07/2018;28/03/2019;Pedido ou Empenho Anulado
IMAP      ;IN 26/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE DOCENCIA PARA A ORIENTAÇÃO DO TRABALHO DE CONCLUSÃO DE CURSO - TCC, DO CURSO DE PÓS-GRADUAÇÃO LATO SENSU ESPECIALIZAÇÃO EM ADMINISTRAÇÃO PÚBLICA DO IMAP.;R$ 10.500,00;IMAP;26/06/2018;01-067926/2018;01/07/2018;27/03/2019;Pedido ou Empenho Anulado
IMAP      ;IN 27/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE DOCENCIA NA DISCIPLINA "DIRETO A CIDADE E DESAFIOS URBANOS";R$ 4.000,00;IMAP;26/06/2018;01-067079/2018;06/07/2018;02/11/2018;Pedido ou Empenho Anulado
FMS       ;PE 74/2018;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 495.000,00;R. Primo Lourenço Tosin, 1021 - Novo Mundo - Laboratório Municipal;28/06/2018;01-049490/2018;26/06/2018;10/08/2019;Empenhado
IMAP      ;IN 28/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE DOCENCIA NA DISCIPLINA: SUSTENTABILIDADE" PARA O CURSO DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO PÚBLICA DO IMAP;R$ 3.000,00;IMAP;26/06/2018;01-066599/2018;17/07/2018;14/10/2018;Pedido ou Empenho Anulado
FMAS      ;PE 11/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ALIMENTAÇÃO PERECÍVEL - LEITE E BEBIDA LÁCTEA- PARA AS UNIDADES DA FUNDAÇÃO DE AÇÃO SOCIAL;R$ 171.255,00;Conforme recibo de entrega;28/06/2018;01-066707/2018;27/06/2018;19/01/2019;Parcialmente Empenhado
COHAB-CT  ;IN 16/2018;Inexigibilidade de Licitação;Comodato com o Clube de Mães União Vila das Torres, do imóvel localizado na Av. Comendador Franco, 1034 - Jd. Botânico, denominado lote 01 - quadra 21, com área de 242,00m², Indicação Fiscal nº 24.150.001.000 - Matrículas: 14.157 do 7ºRI e 8.965 do 4º RI, contendo uma construção de aproximadamente 150,00m².;R$ 0,01;COHAB-CT;03/07/2018;01-145909/2012;05/07/2018;13/06/2022;Confirmado Vencedor
FMAS      ;PE 12/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS DE LIMPEZA E CONSERVAÇÃO PARA AS UNIDADES DA FUNDAÇÃO DE AÇÃO SOCIAL.;R$ 290.669,97;CONFORME NOTA DE EMPENHO;28/06/2018;01-066722/2018;27/06/2018;20/09/2019;Parcialmente Empenhado
FAS       ;PE 3/2018;PREGÃO ELETRÔNICO;Aquisição de Kit Moradia, destinados ao atendimento das Ações Sociais desenvolvidas pelos Programas da Fundação de Ação Social, pelo período de 365 dias.;R$ 216.750,00;Conforme Empenho;28/06/2018;01-065351/2018;27/06/2018;18/07/2019;Empenhado
FMS       ;DT 43/2018;Dispensa de Licitação - TCE;AQUISIÇÃO DE HEADSET (TIARA UNIVERSAL).;R$ 47.800,00;RUA ATÍLIO BÓRIO, 680.;28/06/2018;01-060337/2018;29/06/2018;06/07/2018;Empenhado
FMHIS     ;PE 2/2018;PREGÃO ELETRÔNICO;Contratação de empresa para a prestação de serviços técnicos de elaboração de laudos completos descritivos de avaliação de imóveis urbanos ou rurais, com características de urbanos, localizados em Curitiba e/ou região metropolitana.;R$ 44.710,00;Barão do Rio Branco, 45;29/06/2018;01-027957/2018;27/06/2018;27/09/2018;Confirmado Vencedor
FMC       ;IN 19/2018;Inexigibilidade de Licitação;Contratação de projetos inscritos no Edital de Difusão Cultural e Artística dos Núcleos Regionais da Fundação Cultural de Curitiba - 2018 do Fundo Municipal da Cultura.;R$ 165.416,00;Rua Engenheiros Rebouças, 1732;27/06/2018;01-089736/2017;29/06/2018;28/07/2019;Confirmado Vencedor
SME       ;PE 186/2018;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ORGANIZADORA DE EVENTOS E PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO, MONTAGEM E DESMONTAGEM DE EQUIPAMENTOS E MATERIAIS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 114.500,00;CONFORME EDITAL;28/06/2018;01-068368/2018;24/07/2018;23/08/2018;Empenhado
SMTE      ;PE 187/2018;PREGÃO ELETRÔNICO;Aquisição de material de copa e cozinha;R$ 17.422,27;conforme empenho;29/06/2018;01-056636/2018;20/08/2018;30/08/2018;Parcialmente Empenhado
SMTE      ;PE 188/2018;PREGÃO ELETRÔNICO;Aquisição de material de higiene e limpeza.;R$ 15.866,55;Conforme edital;29/06/2018;01-053735/2018;20/08/2018;30/08/2018;Empenhado
FCC       ;DT 3/2018;Dispensa de Licitação - TCE;Contratação de CURITIBA ARTE - INSTITUTO CURITIBA DE ARTE E CUKTURA - ICAC, em caráter emergencial, para execução das atividades artísticas culturais da Cidade de Curitiba.;R$ 5.005.996,80;Rua Engenheiros Rebouças, 1732;28/06/2018;04-031906/2016;01/07/2018;26/01/2019;Confirmado Vencedor
SME       ;PE 189/2018;PREGÃO ELETRÔNICO;AQUISIÇÃO DE LICENÇA DE USO DE SOFTWARE CAD PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 26.000,00;Conforme Processo de Compra;29/06/2018;01-051893/2018;08/08/2018;23/08/2018;Empenhado
FUMDEC    ;PE 2/2018;PREGÃO ELETRÔNICO;Motobomba - Conserto.                                                              ;;COMPDEC - Rua Capitão Souza Franco, 13 - Batel;29/06/2018;01-035353/2018;;;Processo Deserto
FMS       ;IN 10/2018;Inexigibilidade de Licitação;AQUISIÇÃO DE 01 INSCRIÇÃO PARA O 12º CONGRESSO BRASILEIRO DE SAÚDE COLETIVA, DE 26 A 29 DE JULHO DE 2018, NO RIO DE JANEIRO/RJ.;R$ 900,00;RUA ATÍLIO BÓRIO 680;29/06/2018;01-065171/2018;02/07/2018;17/07/2018;Empenhado
ICS       ;DT 56/2018;Dispensa de Licitação - TCE;Aquisição de medicamento Fampyra 10mg;;Rua Santo Antonio, 400;29/06/2018;01-069855/2018;;;Processo de Compra Montado
ICS       ;DT 57/2018;Dispensa de Licitação - TCE;Aquisição de medicamento Temodal 100mg;;Rua Santo Antonio, 400;29/06/2018;01-069041/2018;;;Processo de Compra Montado
COHAB-CT  ;IN 18/2018;Inexigibilidade de Licitação;Cessão precária e gratuita, a título de comodato, da posse do imóvel "Parte ideal de 119,39m² do Lote 04 da Quadra 03, cujo todo mede 2.270,24m² do Projeto do Loteamento do Lote 33-C da Planta Jardim Esmeralda II, situado na Rua Dante Honório, 900, objeto da matrícula nº 86.771 do 8º R.I. com Indicação Fiscal nº 81.632.049.000".;R$ 0,01;COHAB-CT;04/07/2018;01-114886/2013;10/08/2018;29/07/2020;Confirmado Vencedor
SETRAN    ;PE 190/2018;PREGÃO ELETRÔNICO;Sinalização horizontal em termoplástico por aspersão e extrusão, termoplástico pré-formado plástico a frio e implantação de tachas, tachões e calotas para vias do Município de Curitiba. ;R$ 6.018.698,00;Rua Benjamin Constant, 157 Centro;28/09/2018;01-045613/2017;05/11/2018;04/11/2021;Confirmado Vencedor
SME       ;IN 51/2018;Inexigibilidade de Licitação;Serviço: Curso  Projeto de Implantação da Fanfarra Infantojuvenil para a Rede Municipal de Ensino de Curitiba.Conforme processo de credenciamento nº 01-145499/2014.;R$ 3.200,00;Conforme processo original nº 01-056090/2018;04/07/2018;01-056090/2018;04/07/2018;31/12/2018;Empenhado
SMSAN     ;PE 191/2018;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS NOS NÚCLEOS DO ABASTECIMENTO LOCALIZADO NAS RUAS DA CIDADANIA DA REGIONAL SANTA FELICIDADE E PINHEIRINHO.;R$ 3.765,98;Conforme Informação do Termo de Referência.;02/07/2018;01-067551/2018;02/08/2018;01/09/2018;Parcialmente Empenhado
FAAC      ;PE 22/2018;PREGÃO ELETRÔNICO;  Aquisição de  mobiliários   .;R$ 3.417,00;RUA GENERAL CARNEIRO 938;02/07/2018;01-069136/2018;17/07/2018;16/08/2018;Empenhado
FMS       ;IN 11/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS MÉDICO-HOSPITALARES MARCA MINDRAY DA EMPRESA MEDICALWAY DA SECRETARIA MUNICIPAL DA SAÚDE DE CURITIBA.;R$ 160.000,00;RUA FRANCISCO TORRES, 830.;11/07/2018;01-038784/2018;13/07/2018;12/07/2020;Confirmado Vencedor
IMAP      ;IN 29/2018;Inexigibilidade de Licitação;PALESTRA, "SAIRÉ - UMA CIDADE MAIS SAUDÁVEL" PARA A PÓS GRADUAÇÃO DA SAÚDE.;R$ 500,00;IMAP;02/07/2018;01-069709/2018;05/07/2018;02/09/2018;Empenhado
IMAP      ;IN 30/2018;Inexigibilidade de Licitação;PRESTAÇÃO DE SERVIÇOS DE DOCENCIA/ORIENTAÇÃO DO TRABALHO DE CONCLUÇÃO DE CURSO - TCC PARA 03 ALUNOS DO CURSO DA PÓS GRADUAÇÃO DO IMAP;R$ 3.600,00;IMAP;02/07/2018;01-067067/2018;03/07/2018;29/03/2019;Empenhado
SETRAN    ;PE 192/2018;PREGÃO ELETRÔNICO;Água mineral sem gás, pelo sistema registro de preço.;R$ 146.970,00;Rua Salgado Filho, 374 esq. Tomas Edison, 44 Prado Velho;02/07/2018;01-025090/2018;02/07/2018;03/08/2019;Empenhado
